exercise_slug,muscle
90_90_Hamstring,calves
Ab_Roller,shoulders
Advanced_Kettlebell_Windmill,glutes
Advanced_Kettlebell_Windmill,hamstrings
Advanced_Kettlebell_Windmill,shoulders
All_Fours_Quad_Stretch,quadriceps
Alternate_Hammer_Curl,forearms
Alternate_Incline_Dumbbell_Curl,forearms
Alternate_Leg_Diagonal_Bound,abductors
Alternate_Leg_Diagonal_Bound,adductors
Alternate_Leg_Diagonal_Bound,calves
Alternate_Leg_Diagonal_Bound,glutes
Alternate_Leg_Diagonal_Bound,hamstrings
Alternating_Cable_Shoulder_Press,triceps
Alternating_Floor_Press,abdominals
Alternating_Floor_Press,shoulders
Alternating_Floor_Press,triceps
Alternating_Hang_Clean,biceps
Alternating_Hang_Clean,calves
Alternating_Hang_Clean,forearms
Alternating_Hang_Clean,glutes
Alternating_Hang_Clean,lower back
Alternating_Hang_Clean,traps
Alternating_Kettlebell_Press,triceps
Alternating_Kettlebell_Row,biceps
Alternating_Kettlebell_Row,lats
Alternating_Renegade_Row,abdominals
Alternating_Renegade_Row,biceps
Alternating_Renegade_Row,chest
Alternating_Renegade_Row,lats
Alternating_Renegade_Row,triceps
Anti-Gravity_Press,middle back
Anti-Gravity_Press,traps
Anti-Gravity_Press,triceps
Arm_Circles,traps
Arnold_Dumbbell_Press,triceps
Around_The_Worlds,shoulders
Atlas_Stone_Trainer,biceps
Atlas_Stone_Trainer,forearms
Atlas_Stone_Trainer,glutes
Atlas_Stone_Trainer,hamstrings
Atlas_Stone_Trainer,quadriceps
Atlas_Stones,abdominals
Atlas_Stones,adductors
Atlas_Stones,biceps
Atlas_Stones,calves
Atlas_Stones,forearms
Atlas_Stones,glutes
Atlas_Stones,hamstrings
Atlas_Stones,middle back
Atlas_Stones,quadriceps
Atlas_Stones,traps
Axle_Deadlift,forearms
Axle_Deadlift,glutes
Axle_Deadlift,hamstrings
Axle_Deadlift,middle back
Axle_Deadlift,quadriceps
Axle_Deadlift,traps
Back_Flyes_-_With_Bands,middle back
Back_Flyes_-_With_Bands,triceps
Backward_Drag,calves
Backward_Drag,forearms
Backward_Drag,glutes
Backward_Drag,hamstrings
Backward_Drag,lower back
Balance_Board,hamstrings
Balance_Board,quadriceps
Ball_Leg_Curl,calves
Ball_Leg_Curl,glutes
Band_Assisted_Pull-Up,abdominals
Band_Assisted_Pull-Up,forearms
Band_Assisted_Pull-Up,middle back
Band_Good_Morning,glutes
Band_Good_Morning,lower back
Band_Good_Morning_Pull_Through,glutes
Band_Good_Morning_Pull_Through,lower back
Band_Pull_Apart,middle back
Band_Pull_Apart,traps
Barbell_Ab_Rollout,lower back
Barbell_Ab_Rollout,shoulders
Barbell_Ab_Rollout_-_On_Knees,lower back
Barbell_Ab_Rollout_-_On_Knees,shoulders
Barbell_Bench_Press_-_Medium_Grip,shoulders
Barbell_Bench_Press_-_Medium_Grip,triceps
Barbell_Curl,forearms
Barbell_Deadlift,calves
Barbell_Deadlift,forearms
Barbell_Deadlift,glutes
Barbell_Deadlift,hamstrings
Barbell_Deadlift,lats
Barbell_Deadlift,middle back
Barbell_Deadlift,quadriceps
Barbell_Deadlift,traps
Barbell_Full_Squat,calves
