exercise_slug,language_code,name,description
3_4_Sit-Up,en,3/4 Sit-Up,
3_4_Sit-Up,vi,,
90_90_Hamstring,en,90/90 Hamstring,
90_90_Hamstring,vi,,
Ab_Crunch_Machine,en,Ab Crunch Machine,
Ab_Crunch_Machine,vi,,
Ab_Roller,en,Ab Roller,
Ab_Roller,vi,,
Adductor,en,Adductor,
Adductor,vi,,
Adductor_Groin,en,Adductor/Groin,
Adductor_Groin,vi,,
Advanced_Kettlebell_Windmill,en,Advanced Kettlebell Windmill,
Advanced_Kettlebell_Windmill,vi,,
Air_Bike,en,Air Bike,
Air_Bike,vi,,
All_Fours_Quad_Stretch,en,All Fours Quad Stretch,
All_Fours_Quad_Stretch,vi,,
Alternate_Hammer_Curl,en,Alternate Hammer Curl,
Alternate_Hammer_Curl,vi,,
Alternate_Heel_Touchers,en,Alternate Heel Touchers,
Alternate_Heel_Touchers,vi,,
Alternate_Incline_Dumbbell_Curl,en,Alternate Incline Dumbbell Curl,
Alternate_Incline_Dumbbell_Curl,vi,,
Alternate_Leg_Diagonal_Bound,en,Alternate Leg Diagonal Bound,
Alternate_Leg_Diagonal_Bound,vi,,
Alternating_Cable_Shoulder_Press,en,Alternating Cable Shoulder Press,
Alternating_Cable_Shoulder_Press,vi,,
Alternating_Deltoid_Raise,en,Alternating Deltoid Raise,
Alternating_Deltoid_Raise,vi,,
Alternating_Floor_Press,en,Alternating Floor Press,
Alternating_Floor_Press,vi,,
Alternating_Hang_Clean,en,Alternating Hang Clean,
Alternating_Hang_Clean,vi,,
Alternating_Kettlebell_Press,en,Alternating Kettlebell Press,
Alternating_Kettlebell_Press,vi,,
Alternating_Kettlebell_Row,en,Alternating Kettlebell Row,
Alternating_Kettlebell_Row,vi,,
Alternating_Renegade_Row,en,Alternating Renegade Row,
Alternating_Renegade_Row,vi,,
Ankle_Circles,en,Ankle Circles,
Ankle_Circles,vi,,
Ankle_On_The_Knee,en,Ankle On The Knee,
Ankle_On_The_Knee,vi,,
Anterior_Tibialis-SMR,en,Anterior Tibialis-SMR,
Anterior_Tibialis-SMR,vi,,
Anti-Gravity_Press,en,Anti-Gravity Press,
Anti-Gravity_Press,vi,,
Arm_Circles,en,Arm Circles,
Arm_Circles,vi,,
Arnold_Dumbbell_Press,en,Arnold Dumbbell Press,
Arnold_Dumbbell_Press,vi,,
Around_The_Worlds,en,Around The Worlds,
Around_The_Worlds,vi,,
Atlas_Stone_Trainer,en,Atlas Stone Trainer,
Atlas_Stone_Trainer,vi,,
Atlas_Stones,en,Atlas Stones,
Atlas_Stones,vi,,
Axle_Deadlift,en,Axle Deadlift,
Axle_Deadlift,vi,,
Back_Flyes_-_With_Bands,en,Back Flyes - With Bands,
Back_Flyes_-_With_Bands,vi,,
Backward_Drag,en,Backward Drag,
Backward_Drag,vi,,
Backward_Medicine_Ball_Throw,en,Backward Medicine Ball Throw,
Backward_Medicine_Ball_Throw,vi,,
Balance_Board,en,Balance Board,
Balance_Board,vi,,
Ball_Leg_Curl,en,Ball Leg Curl,
Ball_Leg_Curl,vi,,
Band_Assisted_Pull-Up,en,Band Assisted Pull-Up,
Band_Assisted_Pull-Up,vi,,
Band_Good_Morning,en,Band Good Morning,
Band_Good_Morning,vi,,
Band_Good_Morning_Pull_Through,en,Band Good Morning (Pull Through),
Band_Good_Morning_Pull_Through,vi,,
Band_Hip_Adductions,en,Band Hip Adductions,
Band_Hip_Adductions,vi,,
Band_Pull_Apart,en,Band Pull Apart,
Band_Pull_Apart,vi,,
Band_Skull_Crusher,en,Band Skull Crusher,
Band_Skull_Crusher,vi,,
Barbell_Ab_Rollout,en,Barbell Ab Rollout,
Barbell_Ab_Rollout,vi,,
Barbell_Ab_Rollout_-_On_Knees,en,Barbell Ab Rollout - On Knees,
Barbell_Ab_Rollout_-_On_Knees,vi,,
Barbell_Bench_Press_-_Medium_Grip,en,Barbell Bench Press - Medium Grip,
Barbell_Bench_Press_-_Medium_Grip,vi,,
Barbell_Curl,en,Barbell Curl,
Barbell_Curl,vi,,
Barbell_Curls_Lying_Against_An_Incline,en,Barbell Curls Lying Against An Incline,
Barbell_Curls_Lying_Against_An_Incline,vi,,
Barbell_Deadlift,en,Barbell Deadlift,
Barbell_Deadlift,vi,,
Barbell_Full_Squat,en,Barbell Full Squat,
Barbell_Full_Squat,vi,,
Barbell_Glute_Bridge,en,Barbell Glute Bridge,
Barbell_Glute_Bridge,vi,,
Barbell_Guillotine_Bench_Press,en,Barbell Guillotine Bench Press,
Barbell_Guillotine_Bench_Press,vi,,
Barbell_Hack_Squat,en,Barbell Hack Squat,
Barbell_Hack_Squat,vi,,
Barbell_Hip_Thrust,en,Barbell Hip Thrust,
Barbell_Hip_Thrust,vi,,
Barbell_Incline_Bench_Press_-_Medium_Grip,en,Barbell Incline Bench Press - Medium Grip,
Barbell_Incline_Bench_Press_-_Medium_Grip,vi,,
Barbell_Incline_Shoulder_Raise,en,Barbell Incline Shoulder Raise,
Barbell_Incline_Shoulder_Raise,vi,,
Barbell_Lunge,en,Barbell Lunge,
Barbell_Lunge,vi,,
Barbell_Rear_Delt_Row,en,Barbell Rear Delt Row,
Barbell_Rear_Delt_Row,vi,,
Barbell_Rollout_from_Bench,en,Barbell Rollout from Bench,
Barbell_Rollout_from_Bench,vi,,
Barbell_Seated_Calf_Raise,en,Barbell Seated Calf Raise,
Barbell_Seated_Calf_Raise,vi,,
Barbell_Shoulder_Press,en,Barbell Shoulder Press,
Barbell_Shoulder_Press,vi,,
Barbell_Shrug,en,Barbell Shrug,
Barbell_Shrug,vi,,
Barbell_Shrug_Behind_The_Back,en,Barbell Shrug Behind The Back,
Barbell_Shrug_Behind_The_Back,vi,,
Barbell_Side_Bend,en,Barbell Side Bend,
Barbell_Side_Bend,vi,,
Barbell_Side_Split_Squat,en,Barbell Side Split Squat,
Barbell_Side_Split_Squat,vi,,
Barbell_Squat,en,Barbell Squat,
Barbell_Squat,vi,,
Barbell_Squat_To_A_Bench,en,Barbell Squat To A Bench,
Barbell_Squat_To_A_Bench,vi,,
Barbell_Step_Ups,en,Barbell Step Ups,
Barbell_Step_Ups,vi,,
Barbell_Walking_Lunge,en,Barbell Walking Lunge,
Barbell_Walking_Lunge,vi,,
Battling_Ropes,en,Battling Ropes,
Battling_Ropes,vi,,
Bear_Crawl_Sled_Drags,en,Bear Crawl Sled Drags,
